Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
Any,Any,Any,3,Any,Any,Any,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,Any,Any,0
Bachelors,Any,Any,3,Any,Any,Any,Any,1
Bachelors,Any,Any,3,"[25,29)",Any,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Bachelors,Any,Any,3,Any,Any,No,Any,1
Any,Any,Any,Any,Any,Any,No,Any,0
Bachelors,Any,Any,3,Any,Male,No,Any,0
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,"[20,30)",Any,No,Any,0
Bachelors,Any,Any,Any,Any,Any,No,"[0,5)",0
Any,Any,Any,Any,"[20,30)",Any,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,No,Any,1
Bachelors,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,No,Any,1
Any,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,No,Any,1
Any,Any,Any,3,Any,Any,Any,"[0,5)",0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Bachelors,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,"[25,29)",Any,Any,Any,1
Any,Any,Any,3,Any,Male,Any,Any,0
Bachelors,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,Any,Any,Any,Any,Any,Any,Any,1
Any,Any,Any,Any,Any,Any,No,Any,0
Any,"[2015,2020)",Any,Any,Any,Any,No,Any,0
Any,Any,Any,3,Any,Male,Any,Any,0
Bachelors,Any,Any,3,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,No,Any,1
Bachelors,Any,Any,Any,Any,Any,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,Any,"[0,5)",0
Any,Any,Any,Any,"[20,30)",Any,No,Any,0
Bachelors,Any,Any,Any,Any,Any,Any,"[0,5)",1
Any,Any,Any,3,Any,Any,Any,"[0,5)",0
Any,"[2015,2020)",Any,Any,Any,Any,No,Any,1
Bachelors,Any,Any,3,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,No,"[0,5)",1
Any,Any,Any,Any,Any,Male,Any,Any,1
Bachelors,Any,Any,3,Any,Any,Any,Any,0
Bachelors,Any,Any,Any,"[20,30)",Any,Any,"[0,5)",1
Any,Any,Any,Any,"[20,30)",Any,No,Any,1
Bachelors,Any,Any,Any,Any,Any,Any,Any,0
Bachelors,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,No,Any,0
Any,"[2015,2020)",Any,Any,Any,Any,No,Any,1
Bachelors,Any,Any,3,Any,Any,Any,Any,0
Bachelors,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,"[20,30)",Any,Any,Any,1
Any,Any,Any,Any,"[20,30)",Any,No,Any,0
Any,Any,Any,Any,Any,Any,No,Any,0
Bachelors,Any,Any,Any,Any,Any,No,Any,1
Any,"[2015,2020)",Any,Any,"[20,30)",Any,Any,"[0,5)",0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,"[2015,2020)",Any,Any,Any,Any,Any,Any,1
Bachelors,Any,Any,Any,Any,Any,Any,"[0,5)",1
Bachelors,Any,Any,Any,Any,Any,No,"[0,5)",1
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Female,No,"[0,5)",0
Any,Any,Any,Any,Any,Male,Any,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,1
