Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
Any,"[2015,2020)",Any,3,"[25,29)",Any,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,3,Any,Male,Any,Any,0
Any,Any,Any,3,"[25,29)",Any,No,"[0,5)",1
Bachelors,Any,Any,3,"[25,29)",Male,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,Any,Any,0
Any,"[2015,2020)",Any,Any,Any,Any,No,Any,0
Bachelors,Any,Any,Any,"[25,29)",Any,No,Any,0
Any,"[2015,2020)",Any,3,Any,Any,No,Any,0
Any,"[2015,2020)",Any,3,Any,Any,No,Any,0
Any,Any,Any,Any,Any,Any,No,Any,0
Any,"[2015,2020)",Any,Any,Any,Any,Any,2,0
Bachelors,"[2015,2020)",Any,3,Any,Any,No,"[0,5)",1
Any,Any,Any,Any,Any,Any,No,4,0
Bachelors,Any,Bangalore,3,Any,Male,No,Any,0
Bachelors,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,Any,Any,Any,Any,No,5,0
Bachelors,Any,Any,Any,Any,Any,No,"[0,5)",0
Any,Any,Any,Any,"[20,30)",Any,No,"[0,5)",0
Bachelors,Any,Any,3,"[30,40)",Any,Any,Any,1
Bachelors,Any,Any,Any,Any,Any,No,Any,0
Any,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",1
Any,Any,Pune,Any,Any,Any,No,Any,1
Bachelors,Any,Bangalore,3,"[25,29)",Any,No,"[0,5)",1
Bachelors,Any,Any,Any,"[30,40)",Any,Any,"[0,5)",0
Any,Any,Any,Any,Any,Any,No,Any,0
Any,Any,Any,3,Any,Any,No,Any,0
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Any,Any,Any,Any,Any,Any,Any,"[0,5)",0
Bachelors,Any,Any,Any,"[25,29)",Any,No,"[0,5)",1
Bachelors,Any,Any,3,"[25,29)",Male,Any,Any,0
Bachelors,Any,Any,3,Any,Any,No,"[0,5)",1
Bachelors,"[2015,2020)",Any,Any,Any,Any,Any,Any,1
Bachelors,Any,Any,Any,Any,Any,No,"[0,5)",1
Masters,"[2015,2020)",Any,Any,Any,Any,No,Any,0
Any,"[2015,2020)",Any,Any,Any,Any,No,Any,0
Bachelors,Any,Any,3,"[25,29)",Male,Any,Any,0
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,Any,0
Any,Any,Any,Any,Any,Any,Any,Any,0
Any,Any,New Delhi,Any,Any,Any,No,Any,1
Bachelors,Any,Any,Any,Any,Male,No,"[0,5)",0
Bachelors,Any,Any,3,Any,Male,Any,"[0,5)",0
