Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,Any,Any,Any,Any,Any,No,"[5,10)",0
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,No,"[5,10)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,Any,Any,Any,Any,Any,No,"[5,10)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,Yes,Any,1
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,Any,Any,Any,Any,Any,Yes,Any,1
Bachelors,Any,Any,Any,Any,Any,No,"[5,10)",0
Bachelors,Any,Any,Any,Any,Any,No,"[5,10)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,Any,Any,Any,Any,Any,Yes,Any,1
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,Yes,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,No,"[5,10)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,No,"[5,10)",0
Bachelors,Any,Any,Any,Any,Any,Yes,Any,1
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,Yes,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,Any,Any,Any,Any,Any,No,"[5,10)",0
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,Any,Any,Any,Any,Any,No,"[5,10)",0
Bachelors,Any,Any,Any,Any,Any,No,"[5,10)",0
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,No,"[5,10)",0
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,No,"[5,10)",0
Bachelors,Any,Any,Any,Any,Any,No,"[5,10)",0
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,No,"[5,10)",0
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,Yes,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,Yes,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,Yes,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,Any,Any,Any,Any,Any,Yes,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,Any,Any,Any,Any,Any,No,"[5,10)",0
Bachelors,Any,Any,Any,Any,Any,Yes,Any,1
Bachelors,Any,Any,Any,Any,Any,No,"[5,10)",0
Bachelors,Any,Any,Any,Any,Any,Yes,Any,1
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,Yes,Any,1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,Any,Any,Any,Any,Any,No,"[5,10)",0
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,No,"[5,10)",0
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,Yes,Any,1
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2010,2015)",Any,Any,Any,Male,No,"[0,5)",1
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2010,2015)",Any,Any,Any,Female,No,"[0,5)",0
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Post-grad,Any,Any,Any,Any,Any,Any,Any,1
Bachelors,"[2015,2020)",Any,Any,Any,Male,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,"[2015,2020)",Any,Any,Any,Female,No,"[0,5)",0
Bachelors,Any,Any,Any,Any,Any,No,"[5,10)",0
Bachelors,Any,Any,Any,Any,Any,Yes,Any,1
