age,workclass,education,marital-status,occupation,relationship,gender,native-country,income
Any,Private,Any,Married,Any,Any,Any,United-States,<=50K
Any,Any,Any,Married,Any,Any,Any,Any,<=50K
Any,Any,University,Married,Any,Any,Any,Any,>50K
"[0,50)",Private,Any,Never-married,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,North-America,<=50K
Any,Any,Any,Married,Any,In-family,Any,United-States,>50K
"[0,50)",Private,Any,Married,Any,Any,Any,America,>50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,>50K
Any,Any,Any,Married,Any,Any,Any,United-States,>50K
"[25,29)",Private,Any,Never-married,Any,Any,Any,Any,<=50K
"[0,50)",Private,Post-secondary,Any,Any,In-family,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Private,Any,Any,Any,Any,Male,United-States,<=50K
Any,Private,Without-Post-Secondary,Married,Any,Any,Male,America,<=50K
Any,Any,Any,Married,Any,Any,Male,United-States,<=50K
"[0,50)",Private,Senior-Secondary,Any,Any,Any,Female,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Male,United-States,<=50K
"[0,50)",Private,Without-Post-Secondary,Any,Any,In-family,Any,America,<=50K
"[20,30)",Private,Any,Never-married,Any,Any,Male,Any,<=50K
Any,Private,Any,Any,Blue-collar,In-family,Any,Any,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Married,Any,Any,Any,America,<=50K
"[0,50)",Any,HS-grad,Married,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Blue-collar,Any,Any,United-States,<=50K
"[0,50)",Any,Without-Post-Secondary,Any,Any,Any,Female,Any,<=50K
Any,Any,Any,Married,Any,Any,Any,Any,>50K
Any,Private,Any,Married,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Any,Married,Any,Any,Any,United-States,<=50K
Any,Private,Any,Any,Any,Any,Any,United-States,<=50K
Any,Private,Any,Married,Any,Any,Male,America,>50K
"[0,50)",Any,Any,Any,White-collar,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Married,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Any,Married,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Any,Any,Any,Any,Male,United-States,<=50K
Any,Private,Any,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,America,<=50K
Any,Private,Without-Post-Secondary,Any,Any,In-family,Any,United-States,<=50K
Any,Private,Any,Any,Any,In-family,Male,United-States,>50K
Any,Private,HS-grad,Any,White-collar,Any,Any,United-States,<=50K
Any,Any,Any,Married,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,White-collar,Any,Female,America,<=50K
Any,Private,Any,Married,Any,Any,Any,United-States,<=50K
"[0,50)",Any,HS-grad,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Without-Post-Secondary,Married,Any,Any,Male,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,United-States,>50K
"[0,50)",Private,Any,Married,Any,Any,Any,United-States,>50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,>50K
"[0,50)",Private,Post-secondary,Married,Any,In-family,Male,Any,>50K
"[0,50)",Any,Any,Married-civ-spouse,Any,In-family,Any,United-States,>50K
Any,Any,Any,Any,White-collar,Any,Female,America,<=50K
"[0,50)",Private,Post-secondary,Any,Any,Any,Any,United-States,<=50K
Any,Any,Any,Married,Any,Any,Any,Any,<=50K
Any,Private,Any,Any,Any,In-family,Male,United-States,<=50K
"[30,40)",Private,HS-grad,Any,Any,In-family,Male,United-States,<=50K
"[0,50)",Private,Any,Never-married,Any,Not-in-family,Any,United-States,<=50K
"[0,50)",Private,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Senior-Secondary,Any,Any,In-family,Any,Any,>50K
Any,Any,Any,Married,Any,Any,Any,America,>50K
Any,Any,Post-secondary,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Any,Married,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Post-secondary,Married-civ-spouse,Any,In-family,Any,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Any,Any,Any,Any,Any,United-States,<=50K
Any,Private,Any,Married,Any,Any,Any,Any,<=50K
Any,Any,Post-secondary,Any,White-collar,Any,Any,United-States,>50K
"[0,50)",Private,Without-Post-Secondary,Any,Any,In-family,Any,United-States,<=50K
"[0,50)",Private,Any,Married,Any,In-family,Any,United-States,>50K
Any,Private,Any,Any,Blue-collar,In-family,Any,Any,<=50K
Any,Private,Without-Post-Secondary,Any,Any,In-family,Male,United-States,<=50K
"[0,50)",Private,Any,Any,Any,In-family,Any,United-States,<=50K
"[0,50)",Private,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Any,Without-Post-Secondary,Any,Any,Any,Female,Any,<=50K
"[0,50)",Any,Without-Post-Secondary,Married,Any,Any,Any,United-States,<=50K
Any,Any,Any,Married,Any,Any,Any,Any,<=50K
Any,Any,Post-secondary,Any,White-collar,Any,Any,United-States,<=50K
"[0,50)",Private,Post-secondary,Partner-absent,Any,Any,Any,United-States,<=50K
Any,Private,Any,Married,Any,Any,Any,Any,<=50K
Any,Private,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,Without-Post-Secondary,Never-married,Any,Any,Female,United-States,<=50K
"[0,50)",Any,Any,Married,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Any,HS-grad,Married,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Married,Any,Any,Any,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,Any,>50K
"[0,50)",Any,Post-secondary,Married-civ-spouse,Any,In-family,Any,United-States,<=50K
Any,Any,Any,Married-civ-spouse,Any,In-family,Male,United-States,>50K
Any,Private,Any,Married,Any,Any,Any,United-States,>50K
"[0,50)",Private,Any,Any,Any,In-family,Any,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,United-States,<=50K
Any,Private,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,HS-grad,Married,Any,Any,Any,United-States,>50K
"[0,50)",Any,Post-secondary,Married,White-collar,In-family,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Any,Any,In-family,Male,America,<=50K
"[0,50)",Any,Any,Married,Any,In-family,Male,America,<=50K
"[0,50)",Private,Without-Post-Secondary,Any,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Any,Married,Any,Any,Male,United-States,>50K
Any,Any,Without-Post-Secondary,Any,White-collar,Any,Any,United-States,<=50K
Any,Private,Post-secondary,Any,White-collar,In-family,Any,United-States,<=50K
"[0,50)",Any,Post-secondary,Married,White-collar,Any,Any,Any,<=50K
"[0,50)",Private,Any,Any,Any,In-family,Male,Any,<=50K
Any,Private,Any,Any,Any,Any,Male,United-States,<=50K
Any,Any,Any,Married,Any,Any,Any,America,<=50K
Any,Any,Any,Married-civ-spouse,White-collar,In-family,Any,United-States,>50K
Any,Private,Without-Post-Secondary,Married,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Married,Any,Any,Male,United-States,>50K
Any,Any,Without-Post-Secondary,Married,White-collar,Any,Any,United-States,>50K
"[30,40)",Private,HS-grad,Married,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Without-Post-Secondary,Never-married,Any,Any,Male,America,<=50K
"[0,50)",Private,Without-Post-Secondary,Never-married,Blue-collar,Any,Male,America,<=50K
Any,Private,Any,Married,Any,Any,Any,America,>50K
"[0,50)",Any,Any,Married,Any,Any,Any,America,<=50K
Any,Private,Any,Married,Any,Any,Male,United-States,<=50K
Any,Private,Any,Married,Any,Any,Male,America,<=50K
Any,Any,Any,Married,Any,Any,Male,Any,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Any,Without-Post-Secondary,Any,Any,Any,Any,United-States,<=50K
Any,Any,Without-Post-Secondary,Married,Any,Any,Any,United-States,<=50K
Any,Any,Any,Any,Any,In-family,Any,America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Any,Any,Any,Any,America,>50K
"[0,50)",Private,HS-grad,Married,Any,In-family,Any,America,>50K
Any,Any,Without-Post-Secondary,Married,Any,Any,Any,United-States,>50K
"[0,50)",Private,Any,Never-married,Any,Any,Any,United-States,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,United-States,>50K
"[0,50)",Any,Any,Married,Any,Any,Any,United-States,>50K
Any,Any,Post-secondary,Any,Any,Any,Any,United-States,>50K
