age,workclass,education,marital-status,occupation,relationship,gender,native-country,income
"[50,100)",Private,Post-secondary,Divorced,Exec-managerial,Unmarried,Female,United-States,<=50K
Any,Self-emp-not-inc,HS-grad,Married-civ-spouse,Any,Husband,Male,United-States,<=50K
"[0,50)",Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
"[20,24)",Private,Secondary,Never-married,Blue-collar,Not-in-family,Male,United-States,<=50K
"[0,50)",Private,HS-grad,Never-married,Other-service,Not-in-family,Female,United-States,<=50K
"[30,40)",Local-gov,Any,Married-civ-spouse,Other,Husband,Male,United-States,>50K
"[0,50)",Any,HS-grad,Married-civ-spouse,White-collar,In-family,Female,United-States,>50K
"[0,50)",Private,HS-grad,Divorced,Any,Not-in-family,Female,United-States,<=50K
"[0,50)",Self-emp-inc,Senior-Secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[50,100)",Any,Post-secondary,Partner-absent,White-collar,Not-in-family,Female,United-States,>50K
"[20,30)",Any,Bachelors,Never-married,White-collar,Not-in-family,Male,United-States,<=50K
"[0,50)",Private,Post-secondary,Never-married,Other-service,Own-child,Female,United-States,<=50K
"[25,29)",Private,University,Never-married,White-collar,Not-in-family,Female,United-States,<=50K
"[20,30)",Any,Some-college,Never-married,White-collar,Any,Male,United-States,<=50K
"[0,50)",Private,Without-Post-Secondary,Married-civ-spouse,Other-service,Husband,Male,America,<=50K
"[40,44)",Private,HS-grad,Married,Exec-managerial,Any,Male,United-States,<=50K
"[15,19)",Private,Senior-Secondary,Never-married,White-collar,Own-child,Female,United-States,<=50K
"[0,50)",Self-emp-not-inc,Post-secondary,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
"[0,50)",Private,Any,Any,Other-service,Own-child,Female,United-States,<=50K
"[0,50)",Any,Bachelors,Never-married,Any,Own-child,Male,United-States,<=50K
"[20,30)",Private,Any,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
"[0,50)",Any,HS-grad,Any,Any,Not-in-family,Male,United-States,<=50K
"[50,60)",Private,Secondary,Married-civ-spouse,Other-service,Husband,Male,America,<=50K
"[0,50)",Self-emp-inc,Senior-Secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
"[40,50)",Local-gov,HS-grad,Any,Any,Any,Male,United-States,<=50K
"[30,40)",Any,HS-grad,Never-married,Any,Unmarried,Female,United-States,<=50K
"[40,44)",Private,HS-grad,Married,Exec-managerial,Any,Male,United-States,>50K
"[50,60)",Any,HS-grad,Married-civ-spouse,Other,Husband,Male,United-States,<=50K
"[0,50)",Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
"[0,50)",Private,HS-grad,Never-married,Other-service,Not-in-family,Female,United-States,<=50K
